GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test-coverage/avro,org.apache.avro.util,WeakIdentityHashMap.new Map.Entry() {...},22,0,0,0,4,0,4,0,4,0
Test-coverage/avro,org.apache.avro.util,ClassUtils,89,0,20,0,23,0,14,0,4,0
Test-coverage/avro,org.apache.avro.util,ByteBufferInputStream,125,0,20,0,38,0,15,0,5,0
Test-coverage/avro,org.apache.avro.util,RandomData.new Iterator() {...},44,0,2,0,6,0,5,0,4,0
Test-coverage/avro,org.apache.avro.util,RandomData,386,0,39,0,69,0,36,0,10,0
Test-coverage/avro,org.apache.avro.util,WeakIdentityHashMap,199,0,8,0,51,0,20,0,16,0
Test-coverage/avro,org.apache.avro.util,ReusableByteBufferInputStream,102,0,8,0,25,0,13,0,9,0
Test-coverage/avro,org.apache.avro.util,Utf8,343,0,26,0,81,0,33,0,20,0
Test-coverage/avro,org.apache.avro.util,WeakIdentityHashMap.IdentityWeakReference,38,0,6,0,11,0,6,0,3,0
Test-coverage/avro,org.apache.avro.util,ReusableByteArrayInputStream,23,0,0,0,7,0,2,0,2,0
Test-coverage/avro,org.apache.avro.util,ByteBufferOutputStream,193,0,12,0,46,0,15,0,9,0
Test-coverage/avro,org.apache.avro.generic,GenericData.Record,151,38,17,3,28,10,18,3,8,3
Test-coverage/avro,org.apache.avro.generic,GenericArray,4,0,0,0,3,0,2,0,2,0
Test-coverage/avro,org.apache.avro.generic,GenericData.StringType,34,0,0,0,2,0,1,0,1,0
Test-coverage/avro,org.apache.avro.generic,GenericRecordBuilder,290,0,22,0,59,0,31,0,20,0
Test-coverage/avro,org.apache.avro.generic,GenericData.Fixed,52,26,6,0,16,6,11,3,8,3
Test-coverage/avro,org.apache.avro.generic,GenericDatumReader,978,0,108,0,212,0,112,0,45,0
Test-coverage/avro,org.apache.avro.generic,GenericData.Array,343,0,30,0,64,0,31,0,16,0
Test-coverage/avro,org.apache.avro.generic,GenericData.Array.new Iterator() {...},35,0,2,0,5,0,5,0,4,0
Test-coverage/avro,org.apache.avro.generic,GenericData,1739,432,287,62,380,97,215,47,38,22
Test-coverage/avro,org.apache.avro.generic,GenericDatumWriter,514,0,39,0,128,0,52,0,26,0
Test-coverage/avro,org.apache.avro.generic,GenericData.EnumSymbol,38,12,6,0,8,5,8,2,5,2
Test-coverage/avro,org.apache.avro.data,TimeConversions.LocalTimestampMillisConversion,39,0,0,0,9,0,6,0,6,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.TimeMillisConversion,39,0,0,0,7,0,7,0,7,0
Test-coverage/avro,org.apache.avro.data,Json.JsonType,74,0,0,0,2,0,1,0,1,0
Test-coverage/avro,org.apache.avro.data,Json.ObjectWriter,24,0,2,0,6,0,4,0,3,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.TimestampMicrosConversion,83,0,4,0,16,0,9,0,7,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.TimestampMillisConversion,33,0,0,0,7,0,7,0,7,0
Test-coverage/avro,org.apache.avro.data,Json,299,0,31,0,75,0,29,0,7,0
Test-coverage/avro,org.apache.avro.data,RecordBuilderBase,202,0,28,0,49,0,25,0,11,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.TimeMicrosConversion,37,0,0,0,7,0,7,0,7,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.DateConversion,24,0,0,0,7,0,6,0,6,0
Test-coverage/avro,org.apache.avro.data,Json.ObjectReader,45,0,6,0,11,0,6,0,3,0
Test-coverage/avro,org.apache.avro.data,TimeConversions.LocalTimestampMicrosConversion,39,0,0,0,9,0,6,0,6,0
Test-coverage/avro,org.apache.avro.data,TimeConversions,3,0,0,0,1,0,1,0,1,0
Test-coverage/avro,org.apache.avro.file,DataFileReader,294,0,28,0,71,0,27,0,13,0
Test-coverage/avro,org.apache.avro.file,Codec,12,0,0,0,3,0,3,0,3,0
Test-coverage/avro,org.apache.avro.file,BZip2Codec.Option,7,0,0,0,2,0,2,0,2,0
Test-coverage/avro,org.apache.avro.file,XZCodec,118,0,10,0,25,0,13,0,8,0
Test-coverage/avro,org.apache.avro.file,ZstandardCodec,109,0,8,0,22,0,12,0,8,0
Test-coverage/avro,org.apache.avro.file,DataFileWriter.NonCopyingByteArrayOutputStream,11,0,0,0,3,0,2,0,2,0
Test-coverage/avro,org.apache.avro.file,DataFileWriter,631,0,38,0,159,0,50,0,31,0
Test-coverage/avro,org.apache.avro.file,SeekableFileInput,22,0,0,0,8,0,5,0,5,0
Test-coverage/avro,org.apache.avro.file,XZCodec.Option,12,0,0,0,4,0,2,0,2,0
Test-coverage/avro,org.apache.avro.file,DataFileReader12,478,0,44,0,90,0,39,0,17,0
Test-coverage/avro,org.apache.avro.file,NullCodec,36,0,6,0,10,0,10,0,7,0
Test-coverage/avro,org.apache.avro.file,DataFileStream.Header,17,0,0,0,5,0,1,0,1,0
Test-coverage/avro,org.apache.avro.file,DataFileReader.SeekableInputStream,132,0,8,0,29,0,14,0,10,0
Test-coverage/avro,org.apache.avro.file,DataFileStream,527,0,46,0,119,0,46,0,23,0
Test-coverage/avro,org.apache.avro.file,CodecFactory,114,0,4,0,29,0,14,0,12,0
Test-coverage/avro,org.apache.avro.file,BZip2Codec,113,0,10,0,23,0,12,0,7,0
Test-coverage/avro,org.apache.avro.file,NullCodec.Option,5,0,0,0,2,0,2,0,2,0
Test-coverage/avro,org.apache.avro.file,DataFileWriter.BufferedFileOutputStream,27,0,0,0,8,0,3,0,3,0
